sample_id,time,gateway,device_address,crc_status,frequency,spreading_factor,bandwidth,rssi,snr,snr_bin,size,airtime_s,p_success,expected_attempts,access_delay_s,max_attempts,retransmission_backoff_s
22,2020-01-01 00:00:29,gw_main,devB,1,868300000.0,8,125.0,-99.50768675102107,0.6798539160198454,"(0.0, 2.0]",72.0,0.236032,0.9338842975206612,1.0704869885936752,0.32315617348541753,3,1.0
23,2020-01-01 00:00:30,gw_main,devC,1,867100000.0,9,125.0,-115.4071487701769,-9.18081459303236,"(-10.0, -8.0]",37.0,0.267264,0.36666666666666664,2.034444444444444,1.578178204444444,3,1.0
24,2020-01-01 00:00:33,gw_main,devA,0,868300000.0,9,125.0,-96.28901354590393,-4.853023436553595,"(-6.0, -4.0]",45.0,0.308224,0.4411764705882353,1.871107266435986,1.4478274325259513,3,1.0
25,2020-01-01 00:00:34,gw_main,devB,1,868300000.0,7,125.0,-103.34266488230676,6.365391740316472,"(6.0, 8.0]",78.0,0.13849599999999998,0.9651162790697675,1.0361005949161708,0.17959638290968077,3,1.0
26,2020-01-01 00:00:35,gw_main,devC,1,868300000.0,10,125.0,-111.65072401612179,-4.845208051991379,"(-6.0, -4.0]",43.0,0.534528,0.5,1.75,1.685424,3,1.0
27,2020-01-01 00:00:36,gw_main,devC,1,867100000.0,7,125.0,-99.14695804160627,-0.1951302296731236,"(-2.0, 0.0]",43.0,0.087296,0.8554216867469879,1.165481201916098,0.26722304891856574,3,1.0
28,2020-01-01 00:00:37,gw_main,devB,1,867900000.0,8,125.0,-111.18776004248134,5.306339204299044,"(4.0, 6.0]",24.0,0.11315199999999999,0.975609756097561,1.0249851279000597,0.14096424509220723,3,1.0
29,2020-01-01 00:00:38,gw_main,devB,1,868300000.0,8,125.0,-104.21335460908738,-3.501602596459812,"(-4.0, -2.0]",25.0,0.11315199999999999,0.7203389830508474,1.3578713013501866,0.5115171548405629,3,1.0
30,2020-01-01 00:00:39,gw_main,devA,1,867900000.0,10,125.0,-105.9874696926525,-0.6702116975049578,"(-2.0, 0.0]",31.0,0.45260799999999995,0.7575757575757576,1.3011937557392104,0.8901244591368228,3,1.0
31,2020-01-01 00:00:40,gw_main,devC,1,867100000.0,7,125.0,-112.91232175918684,0.6627848594968835,"(0.0, 2.0]",49.0,0.097536,0.9215686274509803,1.0845828527489427,0.1903687258746636,3,1.0
32,2020-01-01 00:00:41,gw_main,devB,0,867100000.0,9,125.0,-96.91180009457833,0.38269064553037174,"(0.0, 2.0]",25.0,0.20582399999999998,0.8987341772151899,1.1115205896490947,0.34029820349302997,3,1.0
33,2020-01-01 00:00:42,gw_main,devA,1,867900000.0,7,125.0,-104.86341819128981,-7.35033495850616,"(-8.0, -6.0]",27.0,0.066816,0.5533980582524272,1.6460552361202754,0.7560380627768877,3,1.0
34,2020-01-01 00:00:44,gw_main,devB,1,868300000.0,7,125.0,-106.99184226607191,8.152940530449225,"(8.0, 10.0]",29.0,0.066816,0.9811320754716981,1.0192239231043076,0.08732438875044507,3,1.0
35,2020-01-01 00:00:46,gw_main,devA,1,867900000.0,7,125.0,-125.18123182670057,5.15629612812959,"(4.0, 6.0]",74.0,0.133376,0.976,1.024576,0.16122984857599992,3,1.0
36,2020-01-01 00:00:48,gw_main,devC,1,867900000.0,7,125.0,-103.2991315652602,-3.848822364643328,"(-4.0, -2.0]",43.0,0.087296,0.8152866242038217,1.2188324069941985,0.325231600795164,3,1.0
37,2020-01-01 00:00:49,gw_main,devA,1,867100000.0,7,125.0,-116.18620814580632,12.002499278054536,"(12.0, 14.0]",46.0,0.092416,0.9565217391304348,1.0453686200378072,0.14197740642722118,3,1.0
38,2020-01-01 00:00:50,gw_main,devB,1,868300000.0,7,125.0,-105.51352722944223,4.57355827250827,"(4.0, 6.0]",24.0,0.061695999999999994,0.976,1.024576,0.08778824089599992,3,1.0
39,2020-01-01 00:00:51,gw_main,devA,0,868300000.0,7,125.0,-115.40302334051621,-7.1957334126313395,"(-8.0, -6.0]",22.0,0.056575999999999994,0.5533980582524272,1.6460552361202754,0.7391824571590161,3,1.0
40,2020-01-01 00:00:53,gw_main,devC,1,867100000.0,11,125.0,-101.91880967162771,3.460137502021112,"(2.0, 4.0]",71.0,1.642496,0.9523809523809523,1.0498866213151927,1.7743211972789115,3,1.0
41,2020-01-01 00:00:54,gw_main,devC,1,868300000.0,11,125.0,-102.8554259017517,-1.1326927521044958,"(-2.0, 0.0]",44.0,1.150976,0.7209302325581395,1.3569497025419146,1.9187662433747974,3,1.0
42,2020-01-01 00:00:56,gw_main,devC,1,868300000.0,10,125.0,-110.10810668788197,-0.3991039208964934,"(-2.0, 0.0]",61.0,0.698368,0.7575757575757576,1.3011937557392104,1.2099058365472912,3,1.0
43,2020-01-01 00:00:57,gw_main,devB,1,867900000.0,7,125.0,-105.09660685317122,4.003485365005967,"(4.0, 6.0]",48.0,0.097536,0.976,1.024576,0.12450904473599993,3,1.0
44,2020-01-01 00:00:58,gw_main,devC,1,867900000.0,7,125.0,-119.31238744390038,8.63113554993691,"(8.0, 10.0]",35.0,0.077056,0.9811320754716981,1.0192239231043076,0.09776124172303317,3,1.0
45,2020-01-01 00:00:59,gw_main,devC,1,868300000.0,9,125.0,-95.77004023995386,-4.053973506033917,"(-6.0, -4.0]",59.0,0.369664,0.4411764705882353,1.871107266435986,1.5627882629757783,3,1.0
46,2020-01-01 00:01:00,gw_main,devA,1,868300000.0,7,125.0,-111.91409378751621,1.2188316623376543,"(0.0, 2.0]",60.0,0.112896,0.9215686274509803,1.0845828527489427,0.20702791849288738,3,1.0
47,2020-01-01 00:01:03,gw_main,devB,0,867900000.0,8,125.0,-113.69628508117341,-7.123167167100839,"(-8.0, -6.0]",59.0,0.205312,0.5087719298245614,1.7325330871037241,1.0882429202831638,3,1.0
48,2020-01-01 00:01:05,gw_main,devA,1,867100000.0,8,125.0,-104.32461346225192,-1.1771758368269802,"(-2.0, 0.0]",78.0,0.246272,0.926605504587156,1.07878124736975,0.34445486272199305,3,1.0
49,2020-01-01 00:01:06,gw_main,devB,1,867100000.0,7,125.0,-101.78712571937766,5.392583232602447,"(4.0, 6.0]",60.0,0.112896,0.976,1.024576,0.1402465320959999,3,1.0
50,2020-01-01 00:01:07,gw_main,devC,1,867900000.0,8,125.0,-109.22224071154064,6.871332044724792,"(6.0, 8.0]",55.0,0.195072,0.9850746268656716,1.0151481398975275,0.21317511784361798,3,1.0
51,2020-01-01 00:01:10,gw_main,devB,1,867300000.0,7,125.0,-91.73670921835128,3.881420535440531,"(2.0, 4.0]",76.0,0.13849599999999998,0.952054794520548,1.0502439482079189,0.1956985340589228,3,1.0
52,2020-01-01 00:01:11,gw_main,devB,0,867100000.0,8,125.0,-95.90412424357736,-11.954518705046967,"(-12.0, -10.0]",77.0,0.246272,0.18181818181818182,2.487603305785124,2.1002303471074377,3,1.0
53,2020-01-01 00:01:12,gw_main,devA,1,867300000.0,7,125.0,-117.35277585398477,-2.7790191897142016,"(-4.0, -2.0]",32.0,0.071936,0.8152866242038217,1.2188324069941985,0.30651033502373315,3,1.0
54,2020-01-01 00:01:13,gw_main,devB,1,868300000.0,7,125.0,-110.36329958558923,-0.5837215540205342,"(-2.0, 0.0]",58.0,0.112896,0.8554216867469879,1.165481201916098,0.29705936768761787,3,1.0
55,2020-01-01 00:01:14,gw_main,devB,1,867900000.0,11,125.0,-101.54470813388704,7.542089863720919,"(6.0, 8.0]",26.0,0.8232959999999999,0.9473684210526315,1.0554016620498614,0.924309628808864,3,1.0
56,2020-01-01 00:01:15,gw_main,devC,1,867300000.0,10,125.0,-96.51167378420267,4.1364234034245335,"(4.0, 6.0]",74.0,0.780288,0.9736842105263158,1.0270083102493075,0.8283705706371192,3,1.0
57,2020-01-01 00:01:16,gw_main,devC,1,867900000.0,9,125.0,-111.53204810567438,-1.963280521333187,"(-2.0, 0.0]",34.0,0.24678399999999998,0.826530612244898,1.203561016243232,0.5005806180758017,3,1.0
58,2020-01-01 00:01:17,gw_main,devB,1,867900000.0,7,125.0,-105.24236926183048,-2.211455364599755,"(-4.0, -2.0]",24.0,0.061695999999999994,0.8152866242038217,1.2188324069941985,0.29402949117611255,3,1.0
59,2020-01-01 00:01:20,gw_main,devC,1,867300000.0,8,125.0,-96.4602290333948,-2.568149655437203,"(-4.0, -2.0]",70.0,0.225792,0.7203389830508474,1.3578713013501866,0.664467778224648,3,1.0
60,2020-01-01 00:01:21,gw_main,devA,1,868300000.0,7,125.0,-114.12216081878968,-1.8220823301883762,"(-2.0, 0.0]",43.0,0.087296,0.8554216867469879,1.165481201916098,0.26722304891856574,3,1.0
61,2020-01-01 00:01:22,gw_main,devA,1,867300000.0,7,125.0,-100.86143952895851,2.115534403711592,"(2.0, 4.0]",76.0,0.13849599999999998,0.952054794520548,1.0502439482079189,0.1956985340589228,3,1.0
62,2020-01-01 00:01:23,gw_main,devC,1,867300000.0,8,125.0,-112.36651496767846,-0.7246226705187307,"(-2.0, 0.0]",32.0,0.133632,0.926605504587156,1.07878124736975,0.22294094301826445,3,1.0
63,2020-01-01 00:01:24,gw_main,devB,1,867100000.0,7,125.0,-101.56813879482162,-1.1837053677943354,"(-2.0, 0.0]",24.0,0.061695999999999994,0.8554216867469879,1.165481201916098,0.23738673014951361,3,1.0
64,2020-01-01 00:01:26,gw_main,devA,1,867300000.0,8,125.0,-107.86200945538236,-0.06912880823128904,"(-2.0, 0.0]",53.0,0.184832,0.926605504587156,1.07878124736975,0.27817454288359567,3,1.0
65,2020-01-01 00:01:27,gw_main,devB,1,868300000.0,9,125.0,-97.1553357631123,-2.6614873378465154,"(-4.0, -2.0]",74.0,0.431104,0.7241379310344828,1.351961950059453,0.9347981545778835,3,1.0
66,2020-01-01 00:01:28,gw_main,devB,1,867900000.0,10,125.0,-113.82419498020366,6.996766657141336,"(6.0, 8.0]",36.0,0.49356799999999995,0.9666666666666667,1.0344444444444445,0.54501312,3,1.0
67,2020-01-01 00:01:29,gw_main,devB,1,868300000.0,9,125.0,-104.70150956078491,3.918531016206983,"(2.0, 4.0]",57.0,0.349184,0.9358974358974359,1.0682117028270874,0.4412141380670611,3,1.0
68,2020-01-01 00:01:30,gw_main,devC,1,867100000.0,7,125.0,-99.69885268652676,-0.1448616780595934,"(-2.0, 0.0]",34.0,0.077056,0.8554216867469879,1.165481201916098,0.25528852141094494,3,1.0
69,2020-01-01 00:01:32,gw_main,devB,1,867100000.0,11,125.0,-107.74851121614333,-2.0392173102788966,"(-4.0, -2.0]",21.0,0.7413759999999999,0.7407407407407407,1.3264746227709192,1.309891072702332,3,1.0
70,2020-01-01 00:01:34,gw_main,devA,1,867300000.0,7,125.0,-113.19615951601426,-0.03239736402975963,"(-2.0, 0.0]",70.0,0.12825599999999998,0.8554216867469879,1.165481201916098,0.3149611589490491,3,1.0
71,2020-01-01 00:01:35,gw_main,devC,1,867900000.0,9,125.0,-98.67836273361523,3.5002941250824833,"(2.0, 4.0]",62.0,0.369664,0.9358974358974359,1.0682117028270874,0.4630911137409599,3,1.0
72,2020-01-01 00:01:36,gw_main,devB,1,868300000.0,10,125.0,-98.96397244699146,-7.7453594719409224,"(-8.0, -6.0]",55.0,0.657408,0.25,2.3125,2.832756,3,1.0
73,2020-01-01 00:01:37,gw_main,devA,1,867900000.0,10,125.0,-90.02663295541643,2.080080293270578,"(2.0, 4.0]",68.0,0.739328,0.9767441860465116,1.0237966468361277,0.7807181741481883,3,1.0
74,2020-01-01 00:01:39,gw_main,devC,0,867300000.0,9,125.0,-95.73008670309386,-12.211973669639594,"(-14.0, -12.0]",67.0,0.410624,0.06666666666666667,2.8044444444444445,2.95601664,3,1.0
75,2020-01-01 00:01:42,gw_main,devB,1,867100000.0,9,125.0,-113.44350126886074,0.9843167742733354,"(0.0, 2.0]",21.0,0.18534399999999998,0.8987341772151899,1.1115205896490947,0.3175342618170165,3,1.0
76,2020-01-01 00:01:43,gw_main,devB,1,867300000.0,7,125.0,-103.2102771867612,13.468539758916297,"(12.0, 14.0]",52.0,0.102656,0.9565217391304348,1.0453686200378072,0.1526819810964083,3,1.0
77,2020-01-01 00:01:44,gw_main,devB,0,867100000.0,10,125.0,-108.14717146705962,-4.99033908847249,"(-6.0, -4.0]",47.0,0.575488,0.5,1.75,1.757104,3,1.0
78,2020-01-01 00:01:45,gw_main,devA,1,868300000.0,7,125.0,-96.9049659436238,-3.743661518663435,"(-4.0, -2.0]",44.0,0.092416,0.8152866242038217,1.2188324069941985,0.33147202271897436,3,1.0
79,2020-01-01 00:01:46,gw_main,devB,1,867300000.0,7,125.0,-123.25810952857995,1.2324236763881933,"(0.0, 2.0]",25.0,0.061695999999999994,0.9215686274509803,1.0845828527489427,0.1514972764321415,3,1.0
80,2020-01-01 00:01:48,gw_main,devB,1,867100000.0,7,125.0,-107.99259475458311,-1.058436395434549,"(-2.0, 0.0]",73.0,0.133376,0.8554216867469879,1.165481201916098,0.32092842270285954,3,1.0
81,2020-01-01 00:01:49,gw_main,devC,1,868300000.0,8,125.0,-99.50203054671911,-1.2355819815192988,"(-2.0, 0.0]",64.0,0.215552,0.926605504587156,1.07878124736975,0.3113147028027944,3,1.0
82,2020-01-01 00:01:50,gw_main,devB,1,867300000.0,7,125.0,-111.64815698740112,4.214777730723266,"(4.0, 6.0]",73.0,0.133376,0.976,1.024576,0.16122984857599992,3,1.0
83,2020-01-01 00:01:51,gw_main,devA,1,867300000.0,12,125.0,-109.08686919345331,3.1194458222033905,"(2.0, 4.0]",34.0,1.8104319999999998,0.782608695652174,1.2646502835538753,2.5542136257088845,3,1.0
84,2020-01-01 00:01:52,gw_main,devA,1,867100000.0,7,125.0,-94.26207101132638,-6.202054992442132,"(-8.0, -6.0]",78.0,0.13849599999999998,0.5533980582524272,1.6460552361202754,0.874027302101989,3,1.0
85,2020-01-01 00:01:55,gw_main,devC,1,867900000.0,7,125.0,-95.32041518894222,-6.3269077322946625,"(-8.0, -6.0]",42.0,0.087296,0.5533980582524272,1.6460552361202754,0.789749274012631,3,1.0
86,2020-01-01 00:01:58,gw_main,devC,1,867100000.0,7,125.0,-102.34282376925078,5.832400247502257,"(4.0, 6.0]",21.0,0.056575999999999994,0.976,1.024576,0.08254241177599991,3,1.0
87,2020-01-01 00:01:59,gw_main,devC,1,867300000.0,9,125.0,-103.06127793354466,1.1564754756304345,"(0.0, 2.0]",44.0,0.287744,0.8987341772151899,1.1115205896490947,0.4313539701970838,3,1.0
88,2020-01-01 00:02:00,gw_main,devB,1,867100000.0,8,125.0,-121.01995247685595,0.5358389146143017,"(0.0, 2.0]",34.0,0.133632,0.9338842975206612,1.0704869885936752,0.2135383058534252,3,1.0
89,2020-01-01 00:02:03,gw_main,devA,1,867900000.0,8,125.0,-112.87901780030631,-11.98647775744233,"(-12.0, -10.0]",32.0,0.133632,0.18181818181818182,2.487603305785124,1.8200267107438015,3,1.0
90,2020-01-01 00:02:04,gw_main,devA,1,867900000.0,7,125.0,-99.47569040641756,-6.788444823138351,"(-8.0, -6.0]",40.0,0.082176,0.5533980582524272,1.6460552361202754,0.7813214712036951,3,1.0
91,2020-01-01 00:02:05,gw_main,devC,1,868300000.0,7,125.0,-109.24130675092226,2.1770387951325256,"(2.0, 4.0]",66.0,0.123136,0.952054794520548,1.0502439482079189,0.17956678701444917,3,1.0
92,2020-01-01 00:02:06,gw_main,devB,0,867900000.0,12,125.0,-92.87809960745024,-12.77140225093287,"(-14.0, -12.0]",41.0,2.138112,0.6788990825688074,1.4242067166063461,3.4693201878629742,3,1.0
93,2020-01-01 00:02:07,gw_main,devA,0,867300000.0,11,125.0,-105.57844074465991,5.07965112888698,"(4.0, 6.0]",47.0,1.232896,0.8571428571428571,1.1632653061224492,1.5974504489795922,3,1.0
94,2020-01-01 00:02:08,gw_main,devB,0,867300000.0,8,125.0,-99.96804482221796,-10.476578852243453,"(-12.0, -10.0]",29.0,0.12339199999999999,0.18181818181818182,2.487603305785124,1.7945536528925619,3,1.0
95,2020-01-01 00:02:09,gw_main,devC,1,867300000.0,10,125.0,-111.18056743308223,4.540431015985606,"(4.0, 6.0]",59.0,0.657408,0.9736842105263158,1.0270083102493075,0.7021717894736842,3,1.0
96,2020-01-01 00:02:10,gw_main,devC,0,868300000.0,9,125.0,-110.58726978330668,-5.072982197275945,"(-6.0, -4.0]",61.0,0.369664,0.4411764705882353,1.871107266435986,1.5627882629757783,3,1.0
97,2020-01-01 00:02:11,gw_main,devB,1,867100000.0,7,125.0,-101.55634561321412,4.673946506054767,"(4.0, 6.0]",48.0,0.097536,0.976,1.024576,0.12450904473599993,3,1.0
98,2020-01-01 00:02:13,gw_main,devA,0,867300000.0,9,125.0,-111.13744370552597,-9.221009641748932,"(-10.0, -8.0]",40.0,0.287744,0.36666666666666664,2.034444444444444,1.619843626666666,3,1.0
99,2020-01-01 00:02:14,gw_main,devA,1,868300000.0,11,125.0,-94.0680634742726,7.494892497350729,"(6.0, 8.0]",49.0,1.232896,0.9473684210526315,1.0554016620498614,1.3566021495844873,3,1.0
100,2020-01-01 00:02:15,gw_main,devA,1,867900000.0,12,125.0,-107.45337151731195,8.650242933135669,"(8.0, 10.0]",56.0,2.629632,0.6788990825688074,1.4242067166063461,4.169346273209325,3,1.0
101,2020-01-01 00:02:16,gw_main,devB,1,867100000.0,8,125.0,-91.61632112696381,-0.39482943600124254,"(-2.0, 0.0]",69.0,0.225792,0.926605504587156,1.07878124736975,0.3223614227758606,3,1.0
102,2020-01-01 00:02:17,gw_main,devA,1,868300000.0,7,125.0,-116.14492164223728,-1.6434976330339222,"(-2.0, 0.0]",74.0,0.133376,0.8554216867469879,1.165481201916098,0.32092842270285954,3,1.0
103,2020-01-01 00:02:18,gw_main,devC,1,868300000.0,7,125.0,-108.39853233144639,-0.9592017958238181,"(-2.0, 0.0]",71.0,0.12825599999999998,0.8554216867469879,1.165481201916098,0.3149611589490491,3,1.0
104,2020-01-01 00:02:21,gw_main,devC,1,867300000.0,7,125.0,-110.39614648947219,-3.2573515903811208,"(-4.0, -2.0]",63.0,0.118016,0.8152866242038217,1.2188324069941985,0.3626741323380258,3,1.0
105,2020-01-01 00:02:22,gw_main,devA,1,867100000.0,10,125.0,-99.66424797765055,-0.30714247615005946,"(-2.0, 0.0]",52.0,0.616448,0.7575757575757576,1.3011937557392104,1.1033120440771351,3,1.0
106,2020-01-01 00:02:23,gw_main,devB,0,868300000.0,7,125.0,-97.03639422650045,-4.759778419218262,"(-6.0, -4.0]",20.0,0.056575999999999994,0.6124031007751938,1.537828255513491,0.6248324268974222,3,1.0
107,2020-01-01 00:02:24,gw_main,devA,1,867900000.0,11,125.0,-108.86339430066118,-3.756438598321183,"(-4.0, -2.0]",49.0,1.232896,0.7407407407407407,1.3264746227709192,1.9618798792866945,3,1.0
108,2020-01-01 00:02:26,gw_main,devB,1,868300000.0,10,125.0,-109.11080739253661,7.542415882286356,"(6.0, 8.0]",57.0,0.657408,0.9666666666666667,1.0344444444444445,0.7144964977777779,3,1.0
109,2020-01-01 00:02:27,gw_main,devB,1,867300000.0,8,125.0,-112.27765702591506,-0.9245254392360791,"(-2.0, 0.0]",61.0,0.205312,0.926605504587156,1.07878124736975,0.3002679828297281,3,1.0
110,2020-01-01 00:02:28,gw_main,devA,1,868300000.0,9,125.0,-94.06482826407326,5.795529712372853,"(4.0, 6.0]",52.0,0.328704,0.9516129032258065,1.0507284079084287,0.3961070385015608,3,1.0
111,2020-01-01 00:02:30,gw_main,devB,0,867900000.0,7,125.0,-109.62635853520166,-4.166421166217365,"(-6.0, -4.0]",74.0,0.133376,0.6124031007751938,1.537828255513491,0.7429376369208583,3,1.0
112,2020-01-01 00:02:31,gw_main,devA,1,868300000.0,8,125.0,-98.6455284048455,-1.960111560013513,"(-2.0, 0.0]",33.0,0.133632,0.926605504587156,1.07878124736975,0.22294094301826445,3,1.0
113,2020-01-01 00:02:32,gw_main,devC,0,867100000.0,10,125.0,-113.9290486643105,-3.3613863030173974,"(-4.0, -2.0]",72.0,0.780288,0.6428571428571429,1.4846938775510203,1.643182693877551,3,1.0
114,2020-01-01 00:02:33,gw_main,devA,0,867900000.0,11,125.0,-113.6009323545166,0.04775459510948195,"(0.0, 2.0]",65.0,1.560576,0.7368421052631579,1.332409972299169,2.4117369972299167,3,1.0
115,2020-01-01 00:02:34,gw_main,devC,1,867900000.0,9,125.0,-107.62521009775148,-2.251601038061734,"(-4.0, -2.0]",78.0,0.451584,0.7241379310344828,1.351961950059453,0.9624863353151011,3,1.0
116,2020-01-01 00:02:35,gw_main,devB,1,868300000.0,8,125.0,-104.55090922100821,-1.79953029565079,"(-2.0, 0.0]",33.0,0.133632,0.926605504587156,1.07878124736975,0.22294094301826445,3,1.0
117,2020-01-01 00:02:36,gw_main,devA,0,867100000.0,7,125.0,-97.17679584360437,-8.271448104815482,"(-10.0, -8.0]",75.0,0.133376,0.32727272727272727,2.1252892561983474,1.4087518360330582,3,1.0
118,2020-01-01 00:02:39,gw_main,devA,0,868300000.0,9,125.0,-116.6045677040396,-4.0273992975103035,"(-6.0, -4.0]",33.0,0.24678399999999998,0.4411764705882353,1.871107266435986,1.3328666020761244,3,1.0
119,2020-01-01 00:02:40,gw_main,devA,0,867300000.0,10,125.0,-108.1748740010677,-6.324562725740957,"(-8.0, -6.0]",23.0,0.37068799999999996,0.25,2.3125,2.1697159999999998,3,1.0
120,2020-01-01 00:02:41,gw_main,devC,1,868300000.0,7,125.0,-109.41579707879431,2.023957995450185,"(2.0, 4.0]",22.0,0.056575999999999994,0.952054794520548,1.0502439482079189,0.1096625498217301,3,1.0
121,2020-01-01 00:02:42,gw_main,devC,1,867900000.0,9,125.0,-95.67206626807729,8.443633197339192,"(8.0, 10.0]",75.0,0.431104,0.9655172413793104,1.0356718192627823,0.48215408323424475,3,1.0
122,2020-01-01 00:02:43,gw_main,devA,0,867100000.0,9,125.0,-119.46973607858042,-8.724145814887247,"(-10.0, -8.0]",43.0,0.287744,0.36666666666666664,2.034444444444444,1.619843626666666,3,1.0
123,2020-01-01 00:02:44,gw_main,devB,0,868300000.0,9,125.0,-120.9458961193948,-1.251131089507624,"(-2.0, 0.0]",53.0,0.328704,0.826530612244898,1.203561016243232,0.5991763365264473,3,1.0
124,2020-01-01 00:02:46,gw_main,devB,1,867300000.0,9,125.0,-107.48307351121555,-10.566116845964416,"(-12.0, -10.0]",59.0,0.369664,0.23809523809523808,2.3424036281179133,2.2083059229024933,3,1.0
125,2020-01-01 00:02:49,gw_main,devC,1,867300000.0,7,125.0,-119.6137312748813,0.42865106575563205,"(0.0, 2.0]",75.0,0.133376,0.9215686274509803,1.0845828527489427,0.2292401753171857,3,1.0
