record_id,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,fwi_source,ground_truth_tier,danger_class,danger_label,criticality,deadline_s,iot_fwi,iot_transmit,iot_gate_decision,source
80,26.6,65.6,12.8,0.25,83.8,33.8,149.7,6.2,40.1,14.0,provided,1,1,Moderate,0.35,5.640159571160261,14.0,1,transmit_to_edge,synthetic_fallback
81,27.6,44.6,13.2,1.58,86.0,72.9,109.2,7.0,59.9,18.9,provided,1,1,Moderate,0.35,5.640159571160261,18.9,1,transmit_to_edge,synthetic_fallback
82,32.8,63.0,20.6,0.05,93.1,63.4,173.7,9.5,51.4,21.7,provided,2,2,High,0.55,3.1811399988150706,21.7,1,transmit_to_edge,synthetic_fallback
83,29.0,32.4,21.1,1.06,99.0,65.9,155.3,9.1,50.3,20.9,provided,1,1,Moderate,0.35,5.640159571160261,20.9,1,transmit_to_edge,synthetic_fallback
84,28.4,44.0,26.8,0.47,99.0,54.4,265.6,15.2,54.7,31.1,provided,2,2,High,0.55,3.1811399988150706,31.1,1,transmit_to_edge,synthetic_fallback
85,21.1,29.5,19.9,0.39,98.8,25.6,217.0,10.5,36.3,19.6,provided,1,1,Moderate,0.35,5.640159571160261,19.6,1,transmit_to_edge,synthetic_fallback
86,29.9,76.9,24.4,0.44,85.0,35.7,98.1,13.1,35.2,22.7,provided,2,2,High,0.55,3.1811399988150706,22.7,1,transmit_to_edge,synthetic_fallback
87,26.5,51.4,27.6,0.54,96.3,52.3,182.8,11.3,42.5,22.3,provided,2,2,High,0.55,3.1811399988150706,22.3,1,transmit_to_edge,synthetic_fallback
88,39.3,35.7,18.2,0.12,99.0,101.7,328.1,11.3,89.3,32.4,provided,2,2,High,0.55,3.1811399988150706,32.4,1,transmit_to_edge,synthetic_fallback
89,35.2,44.2,6.6,0.01,99.0,49.8,247.1,3.8,53.9,11.0,provided,0,0,Low,0.2,10.0,11.0,0,local_low_no_transmit,synthetic_fallback
90,29.8,47.1,8.7,0.15,91.9,71.1,203.6,6.6,64.6,18.9,provided,1,1,Moderate,0.35,5.640159571160261,18.9,1,transmit_to_edge,synthetic_fallback
91,35.3,67.4,6.9,0.8,72.7,38.5,122.1,4.5,7.7,4.3,provided,0,0,Low,0.2,10.0,4.3,0,local_low_no_transmit,synthetic_fallback
92,27.3,16.9,28.1,0.27,99.0,86.5,261.4,15.5,64.8,34.1,provided,2,2,High,0.55,3.1811399988150706,34.1,1,transmit_to_edge,synthetic_fallback
93,38.4,29.2,11.1,0.36,99.0,54.4,288.7,9.1,46.5,20.0,provided,1,1,Moderate,0.35,5.640159571160261,20.0,1,transmit_to_edge,synthetic_fallback
94,30.0,43.7,25.6,1.82,84.3,52.3,218.4,11.3,45.2,23.0,provided,2,2,High,0.55,3.1811399988150706,23.0,1,transmit_to_edge,synthetic_fallback
95,34.7,98.0,21.1,0.32,76.8,26.1,83.9,12.5,23.5,18.0,provided,1,1,Moderate,0.35,5.640159571160261,18.0,1,transmit_to_edge,synthetic_fallback
96,19.7,73.0,29.0,0.3,70.3,32.6,60.5,13.3,32.2,21.9,provided,2,2,High,0.55,3.1811399988150706,21.9,1,transmit_to_edge,synthetic_fallback
97,32.8,49.5,24.0,0.18,99.0,64.8,270.7,14.1,63.3,31.7,provided,2,2,High,0.55,3.1811399988150706,31.7,1,transmit_to_edge,synthetic_fallback
98,16.5,67.7,16.3,0.63,71.4,2.8,27.6,10.4,2.5,6.1,provided,0,0,Low,0.2,10.0,6.1,0,local_low_no_transmit,synthetic_fallback
99,13.7,97.3,15.6,0.48,43.1,13.5,62.7,6.8,12.7,8.2,provided,0,0,Low,0.2,10.0,8.2,0,local_low_no_transmit,synthetic_fallback
100,27.6,46.9,17.6,1.0,91.8,53.4,179.6,9.3,59.6,23.2,provided,2,2,High,0.55,3.1811399988150706,23.2,1,transmit_to_edge,synthetic_fallback
101,22.8,43.9,18.2,0.68,84.1,49.1,190.3,10.7,38.4,20.4,provided,1,1,Moderate,0.35,5.640159571160261,20.4,1,transmit_to_edge,synthetic_fallback
102,31.3,78.7,13.3,0.55,90.6,41.5,180.2,7.9,40.2,16.7,provided,1,1,Moderate,0.35,5.640159571160261,16.7,1,transmit_to_edge,synthetic_fallback
103,48.0,62.9,16.8,0.17,99.0,88.0,300.0,11.5,87.7,32.4,provided,2,2,High,0.55,3.1811399988150706,32.4,1,transmit_to_edge,synthetic_fallback
104,23.3,66.8,28.3,1.28,63.8,28.2,136.2,14.1,29.3,21.8,provided,2,2,High,0.55,3.1811399988150706,21.8,1,transmit_to_edge,synthetic_fallback
105,25.0,40.8,5.1,1.25,83.2,23.7,107.3,7.2,5.5,5.8,provided,0,0,Low,0.2,10.0,5.8,0,local_low_no_transmit,synthetic_fallback
106,31.6,94.3,18.8,1.23,68.8,4.4,49.7,8.1,8.9,8.0,provided,0,0,Low,0.2,10.0,8.0,0,local_low_no_transmit,synthetic_fallback
107,33.9,89.6,10.7,0.75,72.7,38.6,119.9,4.0,29.2,8.1,provided,0,0,Low,0.2,10.0,8.1,0,local_low_no_transmit,synthetic_fallback
108,28.6,64.5,18.3,0.94,69.5,43.6,190.4,8.9,38.9,18.0,provided,1,1,Moderate,0.35,5.640159571160261,18.0,1,transmit_to_edge,synthetic_fallback
109,28.4,67.1,22.9,0.08,89.3,44.6,209.9,11.8,50.0,25.0,provided,2,2,High,0.55,3.1811399988150706,25.0,1,transmit_to_edge,synthetic_fallback
110,35.6,7.4,16.6,0.18,99.0,90.7,419.2,13.0,87.9,35.2,provided,2,2,High,0.55,3.1811399988150706,35.2,1,transmit_to_edge,synthetic_fallback
111,34.2,66.0,22.4,1.19,76.5,45.8,178.4,9.7,38.3,19.0,provided,1,1,Moderate,0.35,5.640159571160261,19.0,1,transmit_to_edge,synthetic_fallback
112,21.7,47.7,5.9,0.31,88.1,34.8,137.1,6.0,38.0,13.1,provided,1,1,Moderate,0.35,5.640159571160261,13.1,1,transmit_to_edge,synthetic_fallback
113,29.4,61.5,24.7,0.52,85.4,43.5,207.7,13.8,44.2,26.3,provided,2,2,High,0.55,3.1811399988150706,26.3,1,transmit_to_edge,synthetic_fallback
114,30.3,67.0,12.8,1.03,94.7,26.8,128.0,7.5,25.9,12.8,provided,1,1,Moderate,0.35,5.640159571160261,12.8,1,transmit_to_edge,synthetic_fallback
115,21.6,44.5,21.4,0.06,91.6,68.9,171.5,11.4,57.5,26.1,provided,2,2,High,0.55,3.1811399988150706,26.1,1,transmit_to_edge,synthetic_fallback
116,32.1,14.8,18.3,0.78,99.0,81.9,248.3,14.5,70.2,33.9,provided,2,2,High,0.55,3.1811399988150706,33.9,1,transmit_to_edge,synthetic_fallback
117,23.1,60.1,1.0,1.78,74.7,7.6,92.9,6.5,7.8,6.2,provided,0,0,Low,0.2,10.0,6.2,0,local_low_no_transmit,synthetic_fallback
118,37.8,35.7,11.7,0.05,99.0,63.8,237.7,10.4,52.0,23.4,provided,2,2,High,0.55,3.1811399988150706,23.4,1,transmit_to_edge,synthetic_fallback
119,31.5,44.7,18.5,0.72,92.0,50.5,227.7,11.0,46.7,23.1,provided,2,2,High,0.55,3.1811399988150706,23.1,1,transmit_to_edge,synthetic_fallback
120,30.7,38.7,27.9,0.55,99.0,74.4,192.7,11.8,52.3,25.6,provided,2,2,High,0.55,3.1811399988150706,25.6,1,transmit_to_edge,synthetic_fallback
121,25.3,44.5,19.0,0.65,86.3,55.3,213.8,11.6,38.7,21.7,provided,2,2,High,0.55,3.1811399988150706,21.7,1,transmit_to_edge,synthetic_fallback
122,29.1,5.0,18.8,1.84,94.5,71.0,226.8,10.1,70.2,26.6,provided,2,2,High,0.55,3.1811399988150706,26.6,1,transmit_to_edge,synthetic_fallback
123,14.0,78.8,7.1,0.8,68.8,4.5,54.5,6.0,4.3,4.3,provided,0,0,Low,0.2,10.0,4.3,0,local_low_no_transmit,synthetic_fallback
124,20.9,57.6,27.0,0.13,82.0,36.3,90.8,11.8,28.8,19.1,provided,1,1,Moderate,0.35,5.640159571160261,19.1,1,transmit_to_edge,synthetic_fallback
125,32.9,76.5,29.6,0.74,83.0,32.3,145.0,13.5,28.6,20.9,provided,1,1,Moderate,0.35,5.640159571160261,20.9,1,transmit_to_edge,synthetic_fallback
126,13.0,95.6,17.2,0.39,55.5,17.0,66.2,7.8,15.2,10.1,provided,0,0,Low,0.2,10.0,10.1,0,local_low_no_transmit,synthetic_fallback
127,36.8,52.5,15.5,0.77,87.2,63.0,186.7,9.9,52.3,22.5,provided,2,2,High,0.55,3.1811399988150706,22.5,1,transmit_to_edge,synthetic_fallback
128,16.0,12.3,5.7,0.08,83.7,76.4,191.3,9.4,61.7,23.7,provided,2,2,High,0.55,3.1811399988150706,23.7,1,transmit_to_edge,synthetic_fallback
129,36.1,32.3,23.2,0.08,99.0,74.8,277.7,13.5,58.8,29.7,provided,2,2,High,0.55,3.1811399988150706,29.7,1,transmit_to_edge,synthetic_fallback
130,23.2,25.4,35.9,0.19,99.0,69.6,174.4,13.1,63.2,30.1,provided,2,2,High,0.55,3.1811399988150706,30.1,1,transmit_to_edge,synthetic_fallback
131,36.2,41.0,22.0,0.05,99.0,84.9,283.4,10.2,66.6,26.1,provided,2,2,High,0.55,3.1811399988150706,26.1,1,transmit_to_edge,synthetic_fallback
132,31.0,53.8,25.8,1.03,98.7,49.5,205.1,9.5,52.8,22.0,provided,2,2,High,0.55,3.1811399988150706,22.0,1,transmit_to_edge,synthetic_fallback
133,17.7,8.0,20.8,0.42,96.4,49.7,191.1,9.9,28.4,16.6,provided,1,1,Moderate,0.35,5.640159571160261,16.6,1,transmit_to_edge,synthetic_fallback
134,40.0,59.5,10.1,2.08,91.4,36.9,190.8,8.1,26.9,13.9,provided,1,1,Moderate,0.35,5.640159571160261,13.9,1,transmit_to_edge,synthetic_fallback
135,41.5,18.8,26.4,1.03,99.0,96.9,313.1,14.0,89.7,37.4,provided,2,2,High,0.55,3.1811399988150706,37.4,1,transmit_to_edge,synthetic_fallback
136,29.5,58.5,8.4,0.7,77.1,42.1,108.9,5.1,32.7,10.6,provided,0,0,Low,0.2,10.0,10.6,0,local_low_no_transmit,synthetic_fallback
137,27.8,49.6,15.5,1.92,83.6,35.4,136.6,8.9,25.9,14.6,provided,1,1,Moderate,0.35,5.640159571160261,14.6,1,transmit_to_edge,synthetic_fallback
138,28.7,45.1,19.0,1.56,82.6,56.1,145.6,7.9,48.2,18.4,provided,1,1,Moderate,0.35,5.640159571160261,18.4,1,transmit_to_edge,synthetic_fallback
139,22.2,50.4,23.2,0.71,90.9,49.9,228.8,8.8,37.8,17.5,provided,1,1,Moderate,0.35,5.640159571160261,17.5,1,transmit_to_edge,synthetic_fallback
140,38.8,40.1,19.9,0.76,99.0,77.5,212.1,8.2,63.7,21.8,provided,2,2,High,0.55,3.1811399988150706,21.8,1,transmit_to_edge,synthetic_fallback
141,25.7,38.5,19.7,1.38,89.1,47.5,199.5,8.4,25.1,13.7,provided,1,1,Moderate,0.35,5.640159571160261,13.7,1,transmit_to_edge,synthetic_fallback
142,29.6,15.0,11.7,0.46,97.7,71.4,300.2,11.8,60.8,27.6,provided,2,2,High,0.55,3.1811399988150706,27.6,1,transmit_to_edge,synthetic_fallback
143,23.7,51.3,8.0,2.19,73.6,27.0,15.7,2.2,13.3,2.6,provided,0,0,Low,0.2,10.0,2.6,0,local_low_no_transmit,synthetic_fallback
144,25.0,92.6,17.4,2.58,52.6,13.2,0.0,9.5,12.9,11.0,provided,0,0,Low,0.2,10.0,11.0,0,local_low_no_transmit,synthetic_fallback
145,19.8,95.6,12.0,0.9,60.8,4.6,44.7,9.5,12.7,10.8,provided,0,0,Low,0.2,10.0,10.8,0,local_low_no_transmit,synthetic_fallback
146,40.1,81.1,7.8,2.35,76.0,32.0,89.1,4.8,19.3,7.5,provided,0,0,Low,0.2,10.0,7.5,0,local_low_no_transmit,synthetic_fallback
147,28.8,67.5,8.1,0.05,77.1,32.8,148.5,6.6,43.1,15.2,provided,1,1,Moderate,0.35,5.640159571160261,15.2,1,transmit_to_edge,synthetic_fallback
148,37.7,37.1,13.6,1.36,99.0,52.1,278.8,7.5,45.9,17.3,provided,1,1,Moderate,0.35,5.640159571160261,17.3,1,transmit_to_edge,synthetic_fallback
149,30.1,83.7,4.0,0.05,79.1,14.4,82.1,5.4,0.0,1.4,provided,0,0,Low,0.2,10.0,1.4,0,local_low_no_transmit,synthetic_fallback
150,24.4,50.8,7.6,0.66,78.0,42.9,95.2,7.6,14.6,9.7,provided,0,0,Low,0.2,10.0,9.7,0,local_low_no_transmit,synthetic_fallback
151,27.4,50.5,5.6,0.05,94.2,48.9,68.3,6.8,48.2,16.5,provided,1,1,Moderate,0.35,5.640159571160261,16.5,1,transmit_to_edge,synthetic_fallback
152,25.5,45.6,18.3,0.34,88.6,65.3,188.3,12.6,53.0,26.9,provided,2,2,High,0.55,3.1811399988150706,26.9,1,transmit_to_edge,synthetic_fallback
153,30.1,54.0,19.9,0.86,87.7,48.7,144.1,13.2,35.1,22.7,provided,2,2,High,0.55,3.1811399988150706,22.7,1,transmit_to_edge,synthetic_fallback
154,27.0,42.4,31.0,0.03,99.0,72.6,242.0,16.0,55.7,32.4,provided,2,2,High,0.55,3.1811399988150706,32.4,1,transmit_to_edge,synthetic_fallback
155,27.6,50.2,6.5,0.77,79.8,53.0,156.1,6.6,35.1,13.6,provided,1,1,Moderate,0.35,5.640159571160261,13.6,1,transmit_to_edge,synthetic_fallback
